CITYNAME,UNIQUEID,COPD,CHD,Diabetes,High Blood Pressure,High Cholesterol,Cholesterol Screening,Lack of Health Insurance,Taking Medicine for High Blood Pressure,Doctor Visits,Binge Drinking,Smoking,No Leisure Time,Obesity,Sleeping less than 7 hours
Memphis,4748000-47157009300,6.6,6.3,8.8,34.9,36.8,78.3,11.8,79.5,69.4,15.8,16.8,21,28.4,32.2
Memphis,4748000-47157009400,6.8,6.3,8.9,33.4,36.2,81.3,10.4,79.7,69.2,15.4,17,20.6,28.5,31.5
Memphis,4748000-47157009500,6,5.9,8.1,31.9,35.3,83.3,9,79.9,69.8,16.1,15.1,18.4,26.4,30.3
Memphis,4748000-47157009600,6.3,7.2,9.4,36,39.3,88.4,6.9,83.8,73.3,13.3,12.2,18,25.4,28
Memphis,4748000-47157009700,9,6.3,12.6,38.7,36,71.2,22.8,76.8,69.4,12.5,26.7,32.9,39.6,41
Memphis,4748000-47157009800,11,8.5,12.6,38.2,40.2,71.3,22.9,78.1,66,13,27.1,33.5,35.5,36.9
Memphis,4748000-47157009901,13.2,8.6,16.3,43.7,40.5,64.3,28.8,76.8,67.7,10.6,34.6,41.6,45.2,43.6
Memphis,4748000-47157009902,11.4,7.8,17.4,48.1,40,68.8,23.8,79.6,73.2,9.9,30.9,38.6,46.6,45.1
Memphis,4748000-47157010000,10.5,7.1,17.7,48.5,38.7,70.2,23.1,80.2,74.9,9.7,30.1,38.3,47.6,46.4
Memphis,4748000-47157010110,13.9,8.5,19.7,48.4,39,65.2,29.8,78.4,72.8,8.4,37.4,46.4,51.5,48.6
Memphis,4748000-47157010120,11.6,7.6,17.8,46.6,38,68.6,25.3,79,73.7,9.1,32.1,40.9,48.1,46.5
Memphis,4748000-47157010210,10.2,6.7,16.9,47.6,37.9,69.3,23.2,79.3,74.5,9.9,30.2,37.6,47.3,46.5
Memphis,4748000-47157010220,10.9,8.2,18.9,49.4,39.7,74.2,21.1,82,75.8,9.2,27.8,37.6,46.5,44.7
Memphis,4748000-47157010300,11.9,7.9,20.3,49.4,38.7,70.7,26.1,80.6,75,8.9,32.3,41.9,50.2,47.7
Memphis,4748000-47157010500,11.9,9.3,19,49.2,41.5,68.5,29.3,81.1,72.9,9.7,30.2,42.1,45,44.4
Memphis,4748000-47157010610,9.2,5.7,14.7,40.2,34.5,66,29.8,74.6,69.4,11.3,31,38.9,46.1,45.7
Memphis,4748000-47157010620,9.1,4.9,13.6,41.2,33,60.2,28.8,72,70.5,10.8,32.9,38.8,47.2,47.5
Memphis,4748000-47157010630,10.3,5.7,15,40.3,34.3,59.7,34.8,72.3,68,10.6,34.6,42.5,47.8,47
Memphis,4748000-47157010710,8.2,6.4,14.2,42.3,36.5,75.2,20.6,79.7,73.2,11.3,24.1,31.9,40.4,42.3
Memphis,4748000-47157010720,10.2,7.2,16.3,45.9,37.4,69.8,23.7,78.5,73.3,9.9,29.2,37.4,46.2,45.4
Memphis,4748000-47157010810,8.8,5.6,14.7,42.1,34.5,69.7,23.4,76.6,72.6,10.7,28.7,35.6,45.5,46
Memphis,4748000-47157010820,8,6.2,15.1,44.5,36.4,77.4,18.2,80.9,75.4,11,23.2,30.8,42.3,42.9
Memphis,4748000-47157011010,10.8,7.1,15.6,43.2,37.7,71.3,24.3,78.6,71.4,10.5,30,37.3,44.3,43.8
Memphis,4748000-47157011020,8.1,5.6,14.5,44.7,35.7,71.5,20.5,78.2,74.1,11.6,26.4,32.2,44,45.2
Memphis,4748000-47157011100,14.1,11.1,25.5,57.4,43.9,72.6,27.4,84.5,77.3,7.8,31.9,46.2,51.6,47.5
Memphis,4748000-47157011200,15,11.3,26,57.6,44.6,70.9,28.3,84.4,76.8,7.5,33.7,47.2,52.5,48.1
Memphis,4748000-47157011300,10.4,7.9,18.9,48.1,38.7,71.4,22.2,80.4,72.5,10.1,29.8,37.4,47.4,45.4
Memphis,4748000-47157011400,10.7,6.5,16,43.9,34.9,58.2,31.1,71.3,67.8,12,38,41.1,49.6,48.4
Memphis,4748000-47157011500,13.8,10.4,25.1,56.2,43.1,71.8,26.6,84,77.1,7.6,32.4,46.3,52.9,48
Memphis,4748000-47157011600,13.7,10,23.2,53.4,41.9,67.2,28.4,81.6,75.7,8,33.7,46,51.8,48.4
Memphis,4748000-47157011700,12.7,10.8,24.3,57.8,44.5,74.3,23.1,85.6,78.8,7.7,27.1,41.7,48.9,45.3
Memphis,4748000-47157011800,9.2,6.5,12.1,36.6,35.8,70.2,24.1,75.3,67.4,13,26.9,32.5,38.6,39.9
Memphis,4748000-47157020511,8.2,7,15.5,47.4,38.8,80.9,15.1,83.4,77.4,10.6,20.7,28.8,40.5,40.8
Memphis,4748000-47157020512,10.1,7.2,16.2,45.9,37.9,70.4,22.9,79.4,74.4,10.2,28.2,36.3,44.4,44.4
Memphis,4748000-47157020521,9.8,5.7,15.6,43.5,34.5,68,23.5,76.4,73.4,10,31.4,37.9,48.3,47.4
Memphis,4748000-47157020523,11,6.5,16.2,43.7,35.5,66.9,26.5,76.2,72.4,9.8,33.4,40.4,48.5,47.3
Memphis,4748000-47157020524,9.2,6.2,15.9,44.7,35.7,72.9,21.8,78.8,74.3,10.7,28.7,35.2,46.3,46
Memphis,4748000-47157020531,5.9,4,8.5,28.1,31.4,62.5,31.5,65.9,61,15.6,22.2,30,36.8,37.9
Memphis,4748000-47157020532,8,7,14.2,45.2,37.7,78,16.6,81.7,76.2,11.1,21.2,29.3,39.3,40.7
Memphis,4748000-47157020541,8.6,6.6,13.9,42.9,36.6,77.2,18,80.2,74.4,11.5,24.1,30.8,40.7,41.7
Memphis,4748000-47157020542,7.9,4.9,12.3,38.2,31.9,68.6,21.3,74,72.2,11.5,27.2,32.6,43.8,44.8
Memphis,4748000-47157020610,6.7,4.6,10.1,34,30.9,74.7,16.9,74.1,71,13.4,23.4,26.7,38.1,41.1
Memphis,4748000-47157020621,7.3,5.2,11.7,37.9,33.2,72.8,18.1,76,72,12.5,23.6,28.4,40.2,41.9
Memphis,4748000-47157020622,5.8,4.8,8.7,31.2,31,73.9,15.8,74.1,69.3,16.2,19.8,22.7,32,37
Memphis,4748000-47157020644,7.3,6.8,12.1,41.6,37.9,83.3,13.5,82.8,76.5,11.9,17,24.6,33.7,36
Memphis,4748000-47157020651,9,7.3,14.1,43,38.4,78.9,16.7,81.3,73.7,11.3,23.1,29.9,39.5,39.9
Memphis,4748000-47157021010,4.8,3.5,7,28.4,29.4,77.7,11.3,72.4,68.2,17.3,17.9,18.4,31,35.9
Memphis,4748000-47157021111,7.5,5.1,10,32.1,32.4,72,19.8,72.7,66.6,14.4,25.5,28.3,37.1,39.5
Memphis,4748000-47157021112,7.6,5.3,9.6,33.1,35.4,71.2,19.3,74.1,65.4,15.6,25,27.4,34.7,37.5
Memphis,4748000-47157021113,6.2,4.1,8.5,30.2,31.3,74.9,15.6,72.7,67,15.9,22.5,23.8,34.2,38
Memphis,4748000-47157021121,6.5,5.5,9,33.2,32.4,75.4,14.8,75.6,70.8,14.7,19.9,23.8,32.6,37.2
Memphis,4748000-47157021122,7.1,5,9.6,30.8,32.2,73,17.8,73.1,67.1,14.5,23.5,26.7,35,38.2
Memphis,4748000-47157021125,6.3,5.5,9.1,32.1,33.6,78.4,11.7,77.7,69.1,14.7,17.5,21.7,29.8,33.9
Memphis,4748000-47157021126,4.5,3.5,6.3,25.8,29.2,77.5,10.7,72.2,67.1,18.1,16.6,17.3,27.1,34
Memphis,4748000-47157021135,5.7,4.4,8,30.6,32.4,77,12.2,74.8,68.5,15.9,18.7,20.7,30.8,35.6
Memphis,4748000-47157021136,5.9,5.2,9.2,34.3,36.6,85.1,8.7,80,71.6,14.8,15.6,18.5,29.9,33.1
Memphis,4748000-47157021137,5.6,4.6,8.2,30.7,33.1,80.7,10.6,76.3,69.1,15.7,17.2,19.6,30.1,34.5
Memphis,4748000-47157021138,5.3,4.5,8.1,30.4,33.1,81.6,9.7,77,69.7,15.5,15.9,18.3,29,33.8
Memphis,4748000-47157021139,10.3,14.2,14.6,58.1,49,94.4,7.3,93.2,88,3.2,5.2,28.2,18.8,22
Memphis,4748000-47157021140,6.3,5.2,8.5,30.3,33.2,79.8,11.5,76.3,68.9,15.9,18.6,20.7,30.7,34.6
Memphis,4748000-47157021141,5.5,4.5,8.8,32.2,33.2,81.5,10.8,77.2,70.4,15.3,17.3,19.9,31.3,35.7
Memphis,4748000-47157021142,6,5.5,8.8,32.5,35.1,83,9.8,79.4,71.2,15.6,16.2,18.8,29.3,32.9
Memphis,4748000-47157021200,5.9,3.4,8.4,32.5,26.8,61.3,28.7,61.2,63.9,18.6,33.9,30,41.5,45.8
Memphis,4748000-47157021311,6.2,7.3,9.9,39.7,41.5,88.8,6.7,85.4,75.8,12.1,10.8,17.6,24.8,27.6
Memphis,4748000-47157021312,4.8,4.4,7.1,28.3,32.2,80.4,9,76.4,68.4,16.8,14.3,16.5,25.7,31.6
Memphis,4748000-47157021320,6.3,6.3,9.5,34.5,36.4,85.2,9,81.5,73,13.6,14.2,19.2,28.4,31.3
Memphis,4748000-47157021331,7.3,7.3,11.3,39.3,39.3,84,9.9,83.2,73.8,12.2,15.2,22.1,30.6,32.2
Memphis,4748000-47157021333,6.6,5.8,10.6,37,36.3,80.4,12.1,79.6,72.4,13.3,17.5,22.6,33.4,35.6
Memphis,4748000-47157021334,7.4,6.1,11.5,38.2,34.5,75.8,16.6,78.1,72.7,12.2,20.8,27.4,37.1,39
Memphis,4748000-47157021342,4.3,3.9,9.1,33.8,30.8,82.1,10.1,78,73.7,14.4,14.2,18.1,32.1,36.8
Memphis,4748000-47157021510,,,,,,,,,,,,,,
Memphis,4748000-47157021710,6.6,4,10.6,36.3,29.9,65.8,22,70.9,71.2,12.6,26.3,30.5,42.4,44.6
Memphis,4748000-47157021721,9.1,6.1,14.4,42.8,35.2,66.1,25,75.7,72,10.5,28.7,36.5,45.3,45.2
Memphis,4748000-47157021724,6.6,4.6,12,38.8,32.4,73.7,19.9,76.4,73,12.6,23.9,29.2,41,43.5
Memphis,4748000-47157021725,5.6,3.1,9.2,33.1,27.1,65.9,21.4,67.8,70.4,13.5,25.1,28.2,41.4,44.4
Memphis,4748000-47157021726,10.6,10.3,15,45.3,38.2,71.4,24.1,80.2,75.3,9.2,22.5,36.8,39,40.4
Memphis,4748000-47157021731,8.3,5.4,14,40.8,34.5,66,27.6,75.1,70,11.7,28.5,35.8,44.7,44.7
Memphis,4748000-47157021732,6.8,4.1,11.7,38,30.9,68.8,21.9,73.2,71.7,12.4,26.2,31,43.8,45
Memphis,4748000-47157021741,7.9,4.9,13.8,40.5,32.9,71.1,22.9,75.6,71.7,11.3,27.7,34,46.6,45.7
Memphis,4748000-47157021744,6.4,4.8,11.8,39.1,33.2,79,16.9,78.4,74.1,13.3,21.8,26.2,38.9,41.8
Memphis,4748000-47157021746,6.6,4.4,12.1,39.8,32.4,74.4,18.1,76.7,74,12.3,23.8,28.6,42.1,43.9
Memphis,4748000-47157021747,6.6,4.5,12.3,38.1,31.4,76,19.5,76,72.7,12.7,24.6,29.1,42.9,44.2
Memphis,4748000-47157021751,,,,,,,,,,,,,,
Memphis,4748000-47157021754,6.1,4.2,11.5,38.3,31.5,74.9,17.9,75.8,73.2,12.7,22.8,27.5,41.8,43.3
Memphis,4748000-47157021900,8.7,6,16.7,46.9,36.2,74.4,20.6,80.3,75.8,10.5,27.6,34.5,46.9,46.4
Memphis,4748000-47157022022,11,7.3,19,48.5,37.6,67.7,25.8,78.9,74.2,9,32.7,41.2,51,48.4
Memphis,4748000-47157022023,7.4,5.3,14.4,43.2,33.6,74,18.5,78.3,75.7,11.5,24.8,30.2,44,45.2
Memphis,4748000-47157022024,8.6,7,17.8,48.9,38,79.7,16.8,83.2,78.1,9.9,23.1,31.9,45.1,44.1
Memphis,4748000-47157022111,9.6,7.7,17.8,49.3,38.7,73,21,82.1,77.2,9.5,25.2,35.7,44.2,44.4
Memphis,4748000-47157022112,8.9,5.9,15.8,45.7,35.4,70.2,22.2,78.3,74.9,10.4,28.7,35.5,46.8,46.7
Memphis,4748000-47157022121,7,6.1,15.6,48.1,37.6,81.5,13.9,83.8,78.8,11,19.5,27.1,41.1,42
Memphis,4748000-47157022122,7.5,5.6,15,44.4,34.8,74.7,17.8,79.6,76.3,11,24,30.7,44.4,44.7
Memphis,4748000-47157022130,8,5.8,15.5,45.2,35.5,75.8,18.9,80.3,76.2,10.9,25.1,32,44.5,44.9
Memphis,4748000-47157022210,11.4,9,22.2,54.5,42,76.2,22.3,84.5,78.2,8.7,27.8,39.3,48.7,45.9
Memphis,4748000-47157022220,10.7,9.2,21.3,53.3,40.6,77.6,21.1,84.7,78.6,8.8,25.3,37.8,46.4,44.8
Memphis,4748000-47157022310,11.5,9,21.7,54.5,42,73.5,23.7,83.8,77.7,8.5,28.3,40.3,48.5,46
Memphis,4748000-47157022321,10,7.6,19.8,51.4,39.4,75.1,20.7,82.9,77.6,9,26.6,36.7,48.3,45.9
Memphis,4748000-47157022322,9.8,8.1,20.5,53.8,41.3,79.7,18.1,85.2,79.3,9.2,24,34.6,46.5,44.4
Memphis,4748000-47157022330,9.9,8.1,20.1,52.7,41.1,76.2,20.3,84.2,78.2,9.4,25.1,36,46.1,44.6
Memphis,4748000-47157022410,8.9,7.5,18.1,51.3,40.1,79.2,17.9,84.3,78,10.1,23.2,32.5,43.6,43.2
Memphis,4748000-47157022500,9.8,7.9,18.2,48.5,39.9,74.8,21.6,82.3,75,10,25,34.9,45,43.3
Memphis,4748000-47157022600,8.1,5.2,13.3,41.8,34.2,68.8,22.8,75.9,72.5,11.6,27.3,32.9,44.1,44.9
Memphis,4748000-47157022700,11.3,8.4,21.1,52.6,40.8,74.5,22.5,83.4,77.5,8.8,28.5,39.3,48.6,46.2
Memphis,4748000-47157980100,12.4,6.3,14.4,40.4,35.7,56.3,31.8,71.1,60.8,13.6,44.4,42.7,48.3,46.5
Memphis,4748000-47157980200,,,,,,,,,,,,,,
Memphis,4748000-47157980400,6.4,2.2,6.8,27.5,25.2,65.4,21.2,67.1,70.1,12.1,29.5,30.1,36.8,43.8
Murfreesboro,4751560,14.1,11.1,18.3,62.4,66.6,151.3,27.4,135.6,137.4,32.5,42.8,49.4,61,75.5
Murfreesboro,4751560-47149040302,6.5,4.6,8.2,30.5,34.2,77.2,14.8,73.9,67.4,17.3,23.4,25.5,30.1,39.1
Murfreesboro,4751560-47149040701,4.5,2.7,5,21.7,26.4,70.3,12.8,62.3,64.1,21.1,21.8,19.8,27.2,38
Murfreesboro,4751560-47149040702,5.9,3.5,6.5,26,30.6,77.2,13.1,67.7,65.1,19.2,25.3,22.5,31.4,39.3
Murfreesboro,4751560-47149040808,5.2,3.5,6.8,26.9,31.4,78.7,11,69.6,66.7,18.7,21.1,20.5,30,38.3
Murfreesboro,4751560-47149040901,5.7,4.3,7.2,26.3,32.1,76,13.5,71,66.1,19.2,21.5,22.2,28,37.6
Murfreesboro,4751560-47149040902,4.2,2.7,5.2,22.2,27.2,76.3,10.6,65.3,65.5,20.6,19.1,17.9,27.1,37.2
Murfreesboro,4751560-47149040903,4.9,3.3,6,24.4,29,74.4,12.2,67.6,65.7,19.9,21.1,20.4,28,37.8
Murfreesboro,4751560-47149040904,6.2,4.9,8.4,31.5,35.8,80.2,10.7,75.8,69.3,17.1,19.5,21.6,28.9,36.9
Murfreesboro,4751560-47149040905,5.4,3.9,6.7,25.7,30,75.8,12.3,69.7,66.8,19.1,20.8,20.8,28.3,37.6
Murfreesboro,4751560-47149041000,5.5,3.9,7.1,28,32.9,79.3,11.1,71.8,67.6,18.6,20.8,20.9,29,37.7
Murfreesboro,4751560-47149041101,5.6,4.3,7.7,28.4,33.4,82.3,10,73.8,69,17.7,19,20.3,29,36.7
Murfreesboro,4751560-47149041201,5.9,5,8.2,31.3,36.1,82.4,10,76.2,69.6,17.4,18.9,20.4,28.2,36.1
Murfreesboro,4751560-47149041202,,,,,,,,,,,,,,
Murfreesboro,4751560-47149041301,6.2,6.2,9.4,35.1,40.2,87.7,7,81.4,73.7,15.2,14.3,18.8,26.4,32.7
Murfreesboro,4751560-47149041302,7,7,9.8,35.3,39,84.3,9.6,81.1,73.1,14.9,16.1,22,26.9,33.6
Murfreesboro,4751560-47149041401,6.6,5.1,8.2,29,33.8,71.8,12.5,73.9,68.2,16.7,20,23.2,28.4,36.6
Murfreesboro,4751560-47149041402,6.8,4.4,7.6,24.7,28.8,65.6,16.6,66.8,65.4,17,24.3,26.1,31.1,39.4
Murfreesboro,4751560-47149041403,6.5,4.6,7.4,25.2,29.9,65.7,14.2,68.2,65.8,17.1,21.7,24.1,29.3,37.7
Murfreesboro,4751560-47149041500,4,1.1,2,9.8,10.5,51.5,17.7,23.4,62.8,18.7,22.3,22.8,25.9,39.2
Murfreesboro,4751560-47149041600,8.3,6.2,9.7,31.4,35.1,67,17.5,73.3,66.7,16,24,28.2,31.1,38.1
Murfreesboro,4751560-47149041700,8.8,7,11,34.7,38,75.2,14.9,76.9,68.8,14.9,23.6,28.1,32.7,38.2
Murfreesboro,4751560-47149041800,9.5,6.1,10.9,34.7,36.5,65.4,21.8,71.2,65.8,15.3,31.5,33.6,36.7,43.1
Murfreesboro,4751560-47149041900,10,7,14.1,38.4,37.8,65.7,23.3,75.8,68.9,13.1,29.3,36.3,38.7,43.6
Murfreesboro,4751560-47149042000,7.1,6.3,10.1,34.5,38,78.9,13.4,78.3,70.4,15.3,18.7,24.1,29.8,36.3
Murfreesboro,4751560-47149042100,6.9,4.5,8.2,26.4,30.4,61.3,18.7,66.4,65,16.5,24.8,27.9,31,39.9
Murfreesboro,4751560-47149042300,5,2.9,5.7,24.1,28.1,73.2,14.1,64.4,64.3,20.3,23.9,21.7,30,39.5
Nashville,4752006,14.6,11.8,20.7,68.1,69.5,151.5,30.9,141,138.5,32.1,43.5,52.9,63.8,79
Nashville,4752006-47037010103,8.9,7.8,10.8,37.8,42.4,83.5,11.1,81.4,70.6,16,21.7,25.2,29.6,36.2
Nashville,4752006-47037010104,9.3,8,11.4,37.8,42.1,82.6,12,81.4,70.4,15.6,23.1,27.1,30.6,37.1
Nashville,4752006-47037010105,7.6,7,15.9,47.6,40.8,82.4,13.5,84.6,78.4,12.4,19.8,28.3,37.5,43.1
Nashville,4752006-47037010106,8.8,6.8,14.4,44.3,38.7,75.4,18.2,79.9,74.2,12.7,26.2,33,40.3,45.9
Nashville,4752006-47037010201,7.1,6.3,11.2,38.8,38.7,80.5,12.7,80.5,73.2,15.3,19.6,24.8,32.6,39.7
Nashville,4752006-47037010202,8.9,7.8,11,38.2,42.8,83.3,11.1,81.7,70.9,16,21.4,25.2,29.4,36.2
Nashville,4752006-47037010401,10.6,8,12.6,37.1,39.6,71.7,23,77.1,68,14.2,28.3,34.8,35.6,42.1
Nashville,4752006-47037010402,12.8,8.4,15.1,40.4,41.6,65.6,27.8,76,66.6,12.6,35.1,42.1,42.1,45.7
Nashville,4752006-47037010501,9.5,7.3,10.7,36.6,40.8,77.7,14,78.8,68.3,16,24.8,27.7,31.7,38.4
Nashville,4752006-47037010502,7.9,5.8,10.3,33.5,37.1,78.5,13.9,77,68.1,16.7,24,26.5,32.5,39.9
Nashville,4752006-47037010601,7.6,6.2,10.3,35.9,37.8,76.7,17.1,78,70.1,16,22.6,27.6,31.9,40.1
Nashville,4752006-47037010602,9,6.9,12.8,39.7,39.1,73.3,20.1,78.4,70.3,14,26.1,32.6,37,43.1
Nashville,4752006-47037010701,10.7,7.4,13.1,37.8,39.6,70.5,22.4,76.2,66.8,14.1,30.9,36,38.7,43.6
Nashville,4752006-47037010702,14.7,11.7,18.1,46.1,45.7,71.4,26.3,81.7,70.7,11,30.3,42.9,39.9,43.3
Nashville,4752006-47037010801,8,6.3,11.1,37.5,38.1,75.6,16.4,78.4,71.1,15.2,23.3,28.5,34.1,41.6
Nashville,4752006-47037010802,10.2,9.9,14,43,42.9,82.9,14.6,84.1,74.4,12.3,20.2,30.8,31.5,37.5
Nashville,4752006-47037010901,7.3,6.5,10.7,38.5,39.2,79.1,13.1,80.1,72.4,15.9,20.2,24.9,31.4,39.2
Nashville,4752006-47037010903,9.4,6,15.4,44,37.3,68.8,23.7,77.2,72.7,12.2,31.1,38,45,49.8
Nashville,4752006-47037010904,10.3,7.6,18,46.9,39.6,73.5,21,81.4,76.8,10.4,27.8,38.1,43.9,48.2
Nashville,4752006-47037011001,11,7.7,16,42.9,40.1,70.5,23.6,79,71.1,12.3,31.2,38.8,41.6,46.8
Nashville,4752006-47037011002,8.1,6.5,11.5,37,37.3,76,16.1,78.2,71.2,14.8,23.3,28.6,34.1,41.4
Nashville,4752006-47037011100,7.9,6.7,9.8,35.5,39.3,78.9,13,78.5,68.9,16.7,22,25.3,30,37.6
Nashville,4752006-47037011200,7.3,5.6,9.4,33.6,36.5,76.8,13.4,76.2,68,17.2,23,24.9,31.7,39.3
Nashville,4752006-47037011300,9.4,6.6,13.4,40.1,39.5,69.9,22.8,77.3,69.1,14.3,28.8,34.7,38.3,44.5
Nashville,4752006-47037011400,7.3,5.7,12.3,39.7,37.2,72.4,16.1,78.5,71.5,14.8,23.4,28.6,36.4,43
Nashville,4752006-47037011500,7.1,6.2,10,36.1,38.1,79.6,11.9,79.3,70.6,16.6,20.6,24.2,30.3,38.2
Nashville,4752006-47037011600,6.7,5.9,10.1,36.1,37.4,79.3,11.8,79,70.6,16.6,19.9,23.6,31.3,38.8
Nashville,4752006-47037011700,5.6,4.2,8.2,30.3,32.6,71.2,13.7,72.8,67.2,19.6,21.4,22.6,30.6,39.7
Nashville,4752006-47037011800,10.4,7.1,16.8,43.2,36.8,71.9,23,78.9,73.3,11.4,30.5,38.4,44,48.6
Nashville,4752006-47037011900,7.3,5.4,12.6,38.6,35.5,68.6,19.5,76.4,70.4,14.8,25.5,31.1,38.5,44.9
Nashville,4752006-47037012100,5,4,6.5,27.1,32.7,79.4,9.4,72.9,66.2,20,17.7,18.1,26.8,35.7
Nashville,4752006-47037012200,5.1,4,6.8,26.5,31.7,78.5,10.3,72.3,66.2,20,18.5,18.7,27.5,36.3
Nashville,4752006-47037012600,10.5,6.8,16,41.3,36.8,69.4,24.3,77.5,71.4,12.5,32.5,38.9,43.6,48.5
Nashville,4752006-47037012701,11,8.6,20.4,50.2,41,74.1,21.9,82.7,77.3,9.9,28.2,40.1,46.1,49
Nashville,4752006-47037012702,8.5,7.6,17.2,48.9,40.5,78.8,16,83.5,77.7,11.7,22.5,32.2,40.6,45.8
Nashville,4752006-47037012801,11.2,9.8,21.4,53.3,44.1,76.9,19.5,84.8,78,9.8,25.8,38.4,44.6,47.2
Nashville,4752006-47037012802,11.3,8.8,18.1,46.9,41,76.4,20.1,83,75,10.6,28.4,38.7,41.6,46.3
Nashville,4752006-47037013000,5.5,4.6,8.3,39.7,37.2,65.5,19.4,69.3,64.3,25.9,29.9,23.9,34.5,45.1
Nashville,4752006-47037013100,8.8,7.1,11.7,37.8,39.9,79.4,14.5,79.7,70.4,15.3,24.2,28.3,32.9,40.2
Nashville,4752006-47037013201,8,7.1,10.6,36.7,41.7,78.1,13.8,80.6,69.7,15.3,21.1,26.8,26.9,37.4
Nashville,4752006-47037013202,8.2,5.9,9.4,32.3,37.7,74.6,16.4,75.4,66,17.6,25.6,27.5,30.8,39.4
Nashville,4752006-47037013300,8.6,6.2,10.3,33.3,37.6,70.2,19.1,74.2,65.3,16.1,26.2,29.9,33.7,40.2
Nashville,4752006-47037013400,4,3.4,5.2,23,30.1,80.6,7.3,71.5,65.8,21.4,14.5,14.7,23.6,33.3
Nashville,4752006-47037013500,5.4,3.7,7.4,27.1,29.6,69.2,13.4,69.8,65.6,18.4,21.1,22.4,30.3,39.1
Nashville,4752006-47037013601,8.9,6.1,14.7,41,35.3,63,23.2,75.2,73.8,11.6,29.2,37.5,42.6,49.1
Nashville,4752006-47037013602,4.6,2.4,5.6,22.6,18.9,47.4,20.5,49.9,72.1,14.1,22.1,28.5,33.1,46.1
Nashville,4752006-47037013700,10.2,8.3,18.6,48.8,40.7,73.5,20.5,82.5,76.5,10.4,26.1,37.5,42.7,47.2
Nashville,4752006-47037013800,10.5,8.5,20.4,52,41.3,75.4,21.8,83.1,77.7,10.4,28.7,40.3,46.3,49.8
Nashville,4752006-47037013900,13,9.8,23,53,42.4,72.7,25,82.8,76.4,9.3,33.2,45.2,49.9,51.5
Nashville,4752006-47037014200,9.5,6,15.2,41,35,61.3,23.8,74.2,73.6,10.7,30.5,39.3,44.7,50.4
Nashville,4752006-47037014300,9.9,7.6,18.7,49.4,39.9,75.4,20.9,82.1,76.4,11,28.4,38,45,49.4
Nashville,4752006-47037014400,8.2,5.6,14.2,41.8,35.7,70.1,19.1,77.8,73.9,11.4,25.3,33.7,41.9,46.9
Nashville,4752006-47037014800,14,7.4,19.1,46.8,38.7,57.2,34.4,75.2,72.1,8.8,41.7,51.4,51.5,54.3
Nashville,4752006-47037015100,7.5,6.4,9.4,33.2,38.3,78.3,13.3,77.8,68.1,16.8,21,24.7,28.7,37.2
Nashville,4752006-47037015200,9.3,7.8,10.9,35.8,40.1,80.4,13.8,79.9,69,15.7,23.2,27.7,30.4,37.4
Nashville,4752006-47037015300,6.5,6.5,8.9,34.1,38.3,84,9.8,80.4,71.5,16.5,16.6,21.1,26.9,34.8
Nashville,4752006-47037015401,8,7.1,10.6,36.3,40.5,82.6,11.6,80.7,70.8,15.7,20.1,24.6,29.4,36.6
Nashville,4752006-47037015402,7.7,6.5,9.8,35,39.2,78.5,13.4,78.6,69.2,17,21.8,25.1,30.1,37.6
Nashville,4752006-47037015404,9.1,8.8,11.4,38.1,40.7,78.3,16.7,81.4,71,14.6,20.6,29.4,29.2,36.6
Nashville,4752006-47037015405,7.2,5.5,9.2,33.2,37.3,77.3,13,76.6,68.2,17.5,22.6,24.3,31,39
Nashville,4752006-47037015501,6.2,5.2,8,29.8,34.8,77.3,11.5,75.6,67.6,18.5,19.9,21.9,27.7,37.1
Nashville,4752006-47037015502,8.6,6.6,10.2,33.5,38,77.1,15.1,76.8,67.5,16.4,24.7,27.7,32,39
Nashville,4752006-47037015609,4.1,2.8,5,21.4,27.2,74,10.3,66.4,64.6,21.6,17.7,17.1,24.6,37
Nashville,4752006-47037015610,5.5,4.4,7.3,28.9,34,77.7,10.4,74.5,67.7,19.1,18.9,19.9,27.6,37.1
Nashville,4752006-47037015612,6,4.3,8.4,29.8,32.1,74.5,14.8,72,68,17.4,22.3,24.3,32.8,41.1
Nashville,4752006-47037015613,7.3,4.8,9.8,31.7,32.7,64.6,24.7,67.3,64.5,17.6,30.7,32.3,37.3,45.3
Nashville,4752006-47037015614,6,4.2,9,30.3,32.7,72.8,17.7,72.2,67.1,16.8,22.6,26.3,33.2,41.7
Nashville,4752006-47037015615,8.2,5.6,11.6,34,36.4,68.1,25.7,72.9,65.7,14.7,27.5,34.3,37.2,43.7
Nashville,4752006-47037015617,7,6.2,10.5,36.2,38.6,82.6,11.1,80.5,72.7,15.4,18.6,23.2,30.6,37.9
Nashville,4752006-47037015618,7.1,5.6,10.8,35.6,36.6,77.7,15,77.6,70.6,15.9,22.4,26.5,34.2,41.6
Nashville,4752006-47037015619,5.7,4.6,9.3,32.4,34.4,81.8,11.4,76.9,71,16.7,18.9,22.1,31.6,39.9
Nashville,4752006-47037015620,7.2,4.9,10.7,34.2,34.6,73.6,19,74.2,68.8,15.6,25.7,29.7,36.8,44
Nashville,4752006-47037015622,6.7,5,8.9,31.1,35.2,78.6,12.9,75.1,67.7,17.6,22,23.7,31.6,39.2
Nashville,4752006-47037015623,7.7,5.4,9.3,32.4,35.7,72.7,15.8,74.2,67.3,16.3,24.4,26.9,32.6,40.4
